5, 0
10, 2
15, 2
20, 2
25, 2
30, 2
35, 2
40, 2
45, 2
50, 2
55, 2
60, 2
65, 2
70, 2
75, 2
80, 2
85, 2
90, 2
95, 2
100, 2
105, 2
110, 2
115, 2
120, 2
125, 2
130, 2
135, 2
140, 2
145, 2
150, 2
155, 2
160, 2
165, 2
170, 2
175, 0
180, 0
185, 0
190, 0
195, 0
200, 0
205, 0
210, 0
215, 2
220, 2
225, 2
230, 2
235, 2
240, 2
245, 2
250, 2
255, 2
260, 2
265, 2
270, 2
275, 2
280, 2
285, 2
290, 2
295, 2
300, 2
305, 2
310, 2
315, 0
320, 2
325, 2
330, 2
335, 2
340, 2
345, 2
350, 2
355, 2
360, 2
365, 2
370, 2
375, 2
380, 2
385, 2
390, 2
395, 2
400, 2
405, 2
410, 2
415, 2
420, 2
425, 2
430, 2
435, 2
440, 2
445, 2
450, 2
455, 2
460, 2
465, 2
470, 2
475, 2
480, 2
485, 2
490, 2
495, 2
500, 2
505, 2
510, 2
515, 2
520, 2
525, 2
530, 2
535, 2
540, 2
545, 0
550, 0
555, 0
560, 0
565, 0
570, 0
575, 0
580, 0
585, 0
590, 0
595, 0
600, 0
605, 0
610, 0
615, 0
620, 0
625, 0
630, 0
635, 0
640, 0
645, 0
650, 0
655, 0
660, 0
665, 0
670, 2
675, 2
680, 2
685, 2
690, 2
695, 2
700, 2
705, 2
710, 2
715, 2
720, 2
725, 2
730, 2
735, 2
740, 2
745, 2
750, 2
755, 2
760, 2
765, 3
770, 3
775, 3
780, 3
785, 3
790, 3
795, 3
800, 3
805, 3
810, 3
815, 3
820, 3
825, 3
